team_id,team_name,slug,image_url,league,season
259121,FC Struga Trim & Lum,fc-struga-trim-and-lum,https://api.sofascore.app/api/v1/team/259121/image,UEFA Champions League,2023/2024
3294,FC Farul Constanța,fcv-farul-constanta,https://api.sofascore.app/api/v1/team/3294/image,UEFA Champions League,2023/2024
5353,Valmiera FC,valmiera-fc,https://api.sofascore.app/api/v1/team/5353/image,UEFA Champions League,2023/2024
2416,NK Olimpija Ljubljana,nk-olimpija-ljubljana,https://api.sofascore.app/api/v1/team/2416/image,UEFA Champions League,2023/2024
263360,FK TSC Bačka Topola,fk-tsc-backa-topola,https://api.sofascore.app/api/v1/team/263360/image,UEFA Champions League,2023/2024
2448,Servette FC,servette-fc,https://api.sofascore.app/api/v1/team/2448/image,UEFA Champions League,2023/2024
33583,Ħamrun Spartans FC,hamrun-spartans-fc,https://api.sofascore.app/api/v1/team/33583/image,UEFA Champions League,2023/2024
3397,Aris Limassol,aris-limassol,https://api.sofascore.app/api/v1/team/3397/image,UEFA Champions League,2023/2024
1760,BK Häcken,bk-hacken,https://api.sofascore.app/api/v1/team/1760/image,UEFA Champions League,2023/2024
37962,Atlètic Club Escaldes,atletic-club-escaldes,https://api.sofascore.app/api/v1/team/37962/image,UEFA Champions League,2023/2024
1901,Breidablik Kópavogur,breidablik-kopavogur,https://api.sofascore.app/api/v1/team/1901/image,UEFA Champions League,2023/2024
1648,RC Lens,rc-lens,https://api.sofascore.app/api/v1/team/1648/image,UEFA Champions League,2023/2024
2999,Sporting Braga,sporting-braga,https://api.sofascore.app/api/v1/team/2999/image,UEFA Champions League,2023/2024
258537,SC Dnipro-1,sc-dnipro-1,https://api.sofascore.app/api/v1/team/258537/image,UEFA Champions League,2023/2024
5382,Swift Hesperange,swift-hesperange,https://api.sofascore.app/api/v1/team/5382/image,UEFA Champions League,2023/2024
2959,Feyenoord,feyenoord,https://api.sofascore.app/api/v1/team/2959/image,UEFA Champions League,2023/2024
2547,1. FC Union Berlin,1-fc-union-berlin,https://api.sofascore.app/api/v1/team/2547/image,UEFA Champions League,2023/2024
3250,AEK Athens,aek-athens,https://api.sofascore.app/api/v1/team/3250/image,UEFA Champions League,2023/2024
5184,Larne FC,larne-fc,https://api.sofascore.app/api/v1/team/5184/image,UEFA Champions League,2023/2024
3248,Panathinaikos,panathinaikos,https://api.sofascore.app/api/v1/team/3248/image,UEFA Champions League,2023/2024
5225,Urartu,urartu,https://api.sofascore.app/api/v1/team/5225/image,UEFA Champions League,2023/2024
7605,Differdange FC 03,differdange-fc-03,https://api.sofascore.app/api/v1/team/7605/image,UEFA Champions League,2024/2025
2685,Bologna,bologna,https://api.sofascore.app/api/v1/team/2685/image,UEFA Champions League,2024/2025
